RandomForest,XGBoost,LightGBM,SVR (Permutation)
Kpi_safety excavation (0.0972),Kpi_safety excavation (0.0838),Kpi_safety on site (351.0000),Kpi_safety excavation (0.2081)
Kpi_concrete structural element (0.0528),Kpi_concrete structural element (0.0722),WBS_PC1 (307.0000),Kpi_electrical panel (0.0742)
Kpi_safety on site (0.0441),Kpi_electrical panel (0.0404),contractor_Idinsa (227.0000),Kpi_lifting  (0.0599)
Kpi_structural steel (0.0386),WBS_PC14 (0.0326),WBS_PC2 (191.0000),Kpi_titan crane (0.0363)
Kpi_lifting  (0.0359),Kpi_infrastructure safety inspection (0.0320),contractor_Sisttemex (178.0000),Kpi_metal structure painting (0.0363)
Kpi_electrical panel (0.0354),Kpi_lifting  (0.0313),WBS_PC38 (170.0000),Kpi_safety on site (0.0274)
Kpi_metal structure painting (0.0275),Kpi_metal structure painting (0.0289),WBS_PC30 (166.0000),Kpi_pipe (0.0268)
Kpi_HDPE pipe (0.0228),WBS_PC13 (0.0258),WBS_PC3 (162.0000),Kpi_water truck (0.0249)
Kpi_infrastructure safety inspection (0.0219),Kpi_rebar (0.0240),Kpi_lifting  (162.0000),Kpi_crane (0.0192)
Kpi_titan crane (0.0218),WBS_PC28 (0.0238),WBS_PC32 (161.0000),Kpi_goulds pumps (0.0176)
